country,cases,deaths,region,population,latitude,longitude
Belize,70782,688,North America,397628,17.2500,-88.7675
Fiji,68921,883,Australia/Oceania,896445,-18.1333,178.4333
Madagascar,68288,1425,Africa,27691018,-18.9386,47.5214
Sudan,63993,5046,Africa,43849260,15.6031,32.5265
Cabo Verde,63934,414,Africa,555987,14.9177,-23.5092
Mauritania,63715,997,Africa,4649658,18.0783,-15.9744
Bhutan,62671,21,Asia,771608,27.4833,89.6333
Syria,57608,3164,Asia,17500658,33.5131,36.2919
Burundi,53762,38,Africa,11890784,-3.3825,29.3611
Seychelles,50937,172,Africa,98347,-4.6236,55.4544
Gabon,48992,307,Africa,2225734,0.3901,9.4544
Andorra,48015,165,Europe,77265,42.5000,1.5000
Papua New Guinea,46864,670,Australia/Oceania,8947024,-9.4789,147.1494
Tanzania,43078,846,Africa,59734218,-6.8000,39.2833
Mauritius,42518,1049,Africa,1271768,-20.1667,57.5000
Togo,39499,290,Africa,8278724,6.1319,1.2228
Guinea,38563,468,Africa,13132795,9.5092,-13.7122
Lesotho,34790,723,Africa,2142249,-29.3100,27.4800
Haiti,34246,860,North America,11402528,18.5425,-72.3386
Mali,33148,743,Africa,20250833,12.6458,-7.9922
Saint Lucia,30052,409,North America,183627,14.0167,-60.9833
Benin,28014,163,Africa,12123200,6.4000,2.5200
Somalia,27334,1361,Africa,15893222,2.0408,45.3425
Solomon Islands,24575,153,Australia/Oceania,686884,-9.4333,159.9500
San Marino,24285,125,Europe,33931,43.9320,12.4484
Timor-Leste,23450,138,Asia,1318445,-8.5586,125.5736
Burkina Faso,22056,396,Africa,20903273,12.3572,-1.5353
Liechtenstein,21446,94,Europe,38128,47.1415,9.5215
Grenada,19693,238,North America,112523,12.0444,-61.7417
Nicaragua,18491,225,North America,6624554,12.1500,-86.2667
South Sudan,18368,138,Africa,11193725,4.8500,31.6000
Tajikistan,17786,125,Asia,9537645,38.5731,68.7864
Equatorial Guinea,17229,183,Africa,1402985,3.7521,8.7737
Tonga,16817,13,Australia/Oceania,105695,-21.1347,-175.2083
Monaco,16793,67,Europe,39242,43.7396,7.4069
Samoa,16763,31,Australia/Oceania,198414,-13.8333,-171.8333
Marshall Islands,16098,17,Australia/Oceania,59190,7.1167,171.3667
Dominica,15760,74,North America,71986,15.3000,-61.3833
Djibouti,15690,189,Africa,988000,11.5950,43.1481
Central African Republic,15368,113,Africa,4829767,4.3732,18.5628
Gambia,12626,372,Africa,2416668,13.4531,-16.5775
Vanuatu,12019,14,Australia/Oceania,307145,-17.7500,168.3000
Yemen,11945,2159,Asia,29825964,15.3500,44.2000
Eritrea,10189,103,Africa,3546421,15.3333,38.9167
Niger,9931,312,Africa,24206644,13.5086,2.1111
Guinea-Bissau,9614,177,Africa,1968001,11.8592,-15.5956
Comoros,9109,161,Africa,869601,-11.7036,43.2536
Liberia,8090,295,Africa,5057681,6.3106,-10.8047
Sierra Leone,7762,126,Africa,7976983,8.4833,-13.2331
Chad,7701,194,Africa,16425864,12.1100,15.0500
Palau,6009,9,Australia/Oceania,18094,7.5006,134.6242
Kiribati,5029,24,Australia/Oceania,119449,1.3382,173.0176
Tuvalu,2805,0,Australia/Oceania,11792,-8.5167,179.2167
